Date,Price,Returns
2015-01-05,169.4759521484375,-0.018059250935700488
2015-01-06,167.87960815429688,-0.009419295032149777
2015-01-07,169.9716033935547,0.012461282595650713
2015-01-08,172.9877471923828,0.017744986448380518
2015-01-09,171.6014862060547,-0.00801363685479084
2015-01-12,170.2572479248047,-0.007833488572679848
2015-01-13,169.7783660888672,-0.0028126957399722263
2015-01-14,168.75335693359375,-0.00603733666948425
2015-01-15,167.20755004882812,-0.009160154872497883
2015-01-16,169.40029907226562,0.013113935481963379
2015-01-20,169.76156616210938,0.0021326236837966306
2015-01-21,170.61854553222656,0.005048135390662178
2015-01-22,173.15576171875,0.014870694030410636
2015-01-23,172.2063751220703,-0.0054828472772493475
2015-01-26,172.6097412109375,0.002342341208803944
2015-01-27,170.3328399658203,-0.013191035622576508
2015-01-28,168.14849853515625,-0.012823959437900379
2015-01-29,169.70274353027344,0.009243287978525805
2015-01-30,167.56875610351562,-0.012574855198950408
2015-02-02,169.64395141601562,0.012384142251542718
2015-02-03,172.09718322753906,0.014461062661216939
2015-02-04,171.44186401367188,-0.0038078439261888253
2015-02-05,173.17259216308594,0.01009513142761942
2015-02-06,172.69374084472656,-0.0027651680463870454
2015-02-09,171.92074584960938,-0.004476103136894838
2015-02-10,173.7522735595703,0.010653325757224774
2015-02-11,173.85311889648438,0.0005803972221376519
2015-02-12,175.5250244140625,0.00961677034148356
2015-02-13,176.24757385253906,0.004116503848317743
2015-02-17,176.5247802734375,0.0015728240385899372
2015-02-18,176.54164123535156,9.551611897173906e-05
2015-02-19,176.41555786132812,-0.0007141848979150822
2015-02-20,177.4741973876953,0.006000828607187536
2015-02-23,177.44894409179688,-0.00014229277421817788
2015-02-24,177.9530487060547,0.0028408431328676986
2015-02-25,177.8018341064453,-0.0008497443607113908
2015-02-26,177.59181213378906,-0.0011812137580680115
2015-02-27,176.98684692382812,-0.003406492690694485
2015-03-02,178.10430908203125,0.006313814713497123
2015-03-03,177.37339782714844,-0.0041038381308684535
2015-03-04,176.6256103515625,-0.004215894179997903
2015-03-05,176.81887817382812,0.0010942230964181565
2015-03-06,174.33203125,-0.01406437451426057
2015-03-09,175.0544891357422,0.00414414884380121
2015-03-10,172.21482849121094,-0.01622158139760299
2015-03-11,171.81153869628906,-0.002341783216086135
2015-03-12,173.99594116210938,0.0127139450725815
2015-03-13,172.92893981933594,-0.00613233467198715
2015-03-16,175.2393798828125,0.013360632788764759
2015-03-17,174.71847534179688,-0.002972531296127401
2015-03-18,176.81887817382812,0.01202164125987415
2015-03-19,176.01229858398438,-0.004561614676973691
2015-03-20,177.5659637451172,0.008827026143241268
2015-03-23,177.2199249267578,-0.0019487902470773921
2015-03-24,176.22412109375,-0.0056190286358566155
2015-03-25,173.6417236328125,-0.014654052151939378
2015-03-26,173.22828674316406,-0.0023809766512263852
2015-03-27,173.6249237060547,0.0022896778023251407
2015-03-30,175.7430877685547,0.012199654388825198
2015-03-31,174.20718383789062,-0.008739484153634347
2015-04-01,173.5911407470703,-0.0035362668590841473
2015-04-02,174.2156982421875,0.0035978650317598504
2015-04-06,175.38868713378906,0.0067329689771751244
2015-04-07,174.9245147705078,-0.0026465353659165247
2015-04-08,175.5152587890625,0.003377136814297854
2015-04-09,176.29165649414062,0.004423533944767799
2015-04-10,177.25372314453125,0.0054572443728928555
2015-04-13,176.45204162597656,-0.004522790857831582
2015-04-14,176.78958129882812,0.0019129258564605234
2015-04-15,177.58279418945312,0.0044867626519473625
2015-04-16,177.53216552734375,-0.00028509891591954606
2015-04-17,175.48992919921875,-0.01150347218521619
2015-04-20,177.09335327148438,0.00913684380398494
2015-04-21,176.88238525390625,-0.0011912813986570958
2015-04-22,177.75161743164062,0.004914181683419949
2015-04-23,178.1988983154297,0.0025163252534738945
2015-04-24,178.6123809814453,0.002320343559496729
2015-04-27,177.8697509765625,-0.004157774510379353
2015-04-28,178.43515014648438,0.003178725819413586
2015-04-29,177.70098876953125,-0.004114443686406122
2015-04-30,175.9202880859375,-0.01002076969815413
2015-05-01,177.82754516601562,0.010841598208084058
2015-05-04,178.33392333984375,0.002847580071779099
2015-05-05,176.29165649414062,-0.011451925732667623
2015-05-06,175.56591796875,-0.004116692416550882
2015-05-07,176.26632690429688,0.003989435669806696
2015-05-08,178.5870361328125,0.013165924934577244
2015-05-11,177.73468017578125,-0.004772776207548235
2015-05-12,177.2030487060547,-0.002991152144312892
2015-05-13,177.23680114746094,0.00019047325456700293
2015-05-14,179.08497619628906,0.010427716122513697
2015-05-15,179.27906799316406,0.0010837972062058832
2015-05-18,179.83604431152344,0.0031067559899442543
2015-05-19,179.77700805664062,-0.00032827821090497533
2015-05-20,179.650390625,-0.0007043026970430244
2015-05-21,180.17355346679688,0.002912116360987538
2015-05-22,179.74319458007812,-0.0023885796690914507
2015-05-26,177.81060791015625,-0.010751932357922378
2015-05-27,179.4984588623047,0.009492408647527206
2015-05-28,179.29595947265625,-0.0011281399903482203
2015-05-29,178.18197631835938,-0.006213096812517804
2015-06-01,178.54489135742188,0.002036766268739054
2015-06-02,178.36770629882812,-0.000992383804692798
2015-06-03,178.8402557373047,0.0026492992945981175
2015-06-04,177.3296661376953,-0.008446585995874778
2015-06-05,177.02584838867188,-0.0017132934135652977
2015-06-08,175.93719482421875,-0.006149687033629725
2015-06-09,175.911865234375,-0.00014396949928097147
2015-06-10,178.02169799804688,0.011993692187055371
2015-06-11,178.59547424316406,0.0032230691627459507
2015-06-12,177.22837829589844,-0.007654706554345636
2015-06-15,176.46888732910156,-0.004285380107292069
